POS,#,Name,Inf,ORG,Age,B,T,OVR,CON,BABIP,GAP,POW,EYE,K's,CON vL,POW vL,CON vR,POW vR,BUN,BFH,STU,CON,PBABIP,HRR,PIT,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,SPE,STE,DEF,G,PA,AB,AVG,OBP,SLG,wOBA,OPS,OPS+,BABIP,WPA,wRC,wRC+,wRAA,WAR,G,BB,K,ERA,AVG,OBP,SLG,OPS,BABIP,WHIP,HR/9,H/9,BB/9,K/9,ERA+,FIP,WAR,SIERA,POS,G,EFF,SLR,SctAcc
SP,26,Sal Aburto,,New York Mets,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,76,11,1,1,31,1,5,75,4,1,3,17,8,27,15,30,28,34,9,2,30,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,16,Julian Aguiar,,Cincinnati Reds,24,L,R,2.0 Stars,1,1,6,1,1,1,1,1,1,1,54,35,27,52,56,40,4,56,1,1,1,44,45,50,58,30,37,32,26,26,92,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,33,Andy Aguilar,,Chicago Cubs,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,51,11,1,1,35,1,5,60,2,4,2,13,21,29,5,53,49,48,19,2,38,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,31,Antonio Aguilar,,Athletics,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,49,3,1,1,35,1,5,55,2,4,2,19,6,64,26,40,40,49,16,8,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,7,Ricky Aguilera,,St. Louis Cardinals,16,S,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,52,5,1,1,31,1,6,41,10,9,6,15,23,42,12,33,43,44,1,2,47,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,22,Sandy Alcantara,,Miami Marlins,30,R,R,3.5 Stars,11,14,1,1,13,9,11,1,11,1,39,4,42,74,58,66,4,67,1,1,1,22,25,64,23,7,21,20,16,16,64,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,33,46,186,2.97,.234,.283,.358,.641,.282,1.11,0.9,8.0,2.0,8.2,138,3.40,4.4,3.36,1,33,.850,$17 300 000,Very High
SP,6,Nelson Alcocer,,Athletics,17,L,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,69,3,10,1,36,1,3,59,13,8,12,28,17,39,17,40,32,41,13,8,55,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,16,Orlando Alvarado,,Minnesota Twins,16,R,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,27,9,4,1,31,1,3,59,2,4,3,22,15,20,4,59,41,40,11,1,40,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,8,Carlos Alvarez,,San Diego Padres,16,S,R,0.5 Stars,1,4,1,1,1,1,1,1,1,1,44,3,1,1,29,1,3,63,6,9,13,15,18,43,17,51,39,56,2,1,42,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
SP,16,Sergio Amezcua,,Chicago Cubs,16,S,R,0.5 Stars,1,1,1,1,1,1,1,1,1,1,72,1,1,1,35,1,4,69,4,3,3,18,9,28,10,46,36,37,19,2,32,,0,0,.000,.000,.000,.000,.000,100,.000,0.00,0,100,-0.0,0.0,0,0,0,0.00,.000,.000,.000,.000,.000,0.00,0.0,0.0,0.0,0.0,100,0.00,0.0,0.00,0,0,.000,-,Very High
