Name,Actual_WAR,Predicted_WAR
Daniel Hurtado,0.8,-0.04073437
Joey Cain,2.7,1.9420687
Thairo Estrada,1.3,-0.051198363
Coy James,0.7,-0.31872427
Mike Fernandez,2.3,3.415337
Leyvi Baker,4.3,1.367575
Mike Friesema,-0.5,0.116854355
Ryan Reckley,0.1,1.2816685
Erik Moye,0.4,1.2739283
Josh Goler,-0.2,1.6467613
Gavin Gallaher,1.9,2.1606932
Rob Baur,-0.3,-0.3656025
Tim Cummins,-2.0,0.6618025
Rod Barrera,2.0,1.0285912
Jose Cervantes,0.1,0.60804194
Clemente Soto,-0.7,0.8034236
Mike Schuette,-1.7,0.19933772
Jose Martinez,-0.1,0.55609006
Austin White,1.6,1.343483
Fernando Gutierrez,2.8,2.0693197
Luis Cruz,4.0,6.007368
Tomas Jimenez,1.1,3.30734
Theo Gillen,3.3,2.1575668
Ramon Dominguez,-1.0,1.6558977
Justin Kincaid,0.3,0.5268082
Josiah York,4.7,3.1170325
Angel Genao,7.2,4.713504
Jesse Brunner,1.1,0.93726677
Luis Garcia Jr.,0.7,1.6179644
Grant Callaway,-0.9,-0.2662432
Tom Tamburino,0.7,-0.24303919
Juan Hernandez,8.1,7.764842
Manny Alvarez,3.7,2.3542492
Austin Hunter,-0.4,1.0502456
Jonathan Hobson,4.8,3.7896733
Carlos Magallanez,0.3,2.0495923
Darell Hernaiz,0.2,0.9095166
Liover Peguero,0.6,3.0539975
Danny Perez,3.5,3.407503
David Chavez,3.7,5.327608
Kevin McKenna,2.3,2.641907
Juan Garcia,1.5,1.4512682
Griff O'Ferrall,0.5,2.0162804
Tony Forke,6.2,5.6586275
Victor Alba,2.5,3.064045
Cristopher Polanco,1.6,3.7216895
Preston Lieberman,6.6,2.736945
Seaver King,-0.1,-0.5427719
Angel Valle,0.5,0.46121007
Alex Paredes,0.4,1.5742382
Nick Delaney,3.3,3.8981872
Mike Fernandez,3.3,3.3003318
Phil Raess,0.1,-0.16763642
Michael Arroyo,1.1,0.43865034
Mike Nazaruk,0.4,3.0506215
Jorge Tejeda,1.4,2.0639055
Andy Turkington,1.9,0.41925806
Edmundo Sosa,0.3,0.9377482
Andy Turkington,-0.2,0.48240897
Jamie Miller,-0.8,-0.004607306
Vicente Ferrer,0.4,0.668194
Brandon Warren,-0.2,0.27463385
J.J. Garton,2.0,3.3390217
Josiah York,3.2,2.4665914
Cory Hinman,1.1,1.4302803
Roberto Cantu,3.6,3.0382125
Roger Naranjo,0.1,0.6693914
Marcus Semien,4.0,3.4592137
Bryson Stott,0.4,0.024097908
Darell Hernaiz,0.4,0.47898966
Fred Derrick,0.4,-0.23716894
Dustin Romeo,2.1,3.8639846
Luis Cruz,5.7,6.007348
Diego Velasquez,2.1,2.8829992
Josh Aber,0.8,0.26195803
Mario Villanueva,-0.3,-0.20090063
Leyvi Baker,2.0,1.466184
Austin Martin,-0.1,0.35644814
Darell Hernaiz,-0.5,0.23434532
Josh Pryor,5.4,4.738789
Ernesto Partida,0.7,0.5848732
Jonathan Hobson,5.5,3.9596097
Elias Marrero,1.5,1.9164381
